Name                     	Level	Lines count	Functions count
.                        	1	2218	69
bin                      	2	0	0
cmd                      	2	0	0
test_copy                	3	0	0
docs                     	2	0	0
examples                 	2	0	0
casebook_service         	3	0	0
debezium_adapter_postgres	3	0	0
debtors_list             	3	0	0
image_packages           	3	0	0
post_office_service      	3	0	0
stack_exchange_postgres  	3	0	0
starter                  	3	0	0
sync_service             	3	0	0
internal                 	2	990	33
config                   	3	60	3
constants                	3	6	0
logic                    	3	424	11
packages_folder          	3	83	3
parse_go                 	3	373	13
pkg                      	2	1228	36
graphml                  	3	839	16
xgml                     	3	338	15
xml                      	3	51	5
test                     	2	0	0
